filename,animation_id,emb_0,emb_1,emb_2,emb_3,emb_4,emb_5,emb_6,emb_7,emb_8,emb_9,emb_10,emb_11,emb_12,emb_13,emb_14,stroke_width,opacity,stroke_opacity,fill_r,fill_g,fill_b,stroke_r,stroke_g,stroke_b,rel_width,rel_height
L_7sins_04,23,10.34507,-3.5080183,4.007239,-0.7369093,0.76854295,-0.63324535,-0.8075873,-0.4760154,0.6242776,0.38295823,0.025265994,0.04318393,0.10426751,0.04863004,-0.2077821,0,1.0,1.0,197,0,123,0,0,0,0.021373324131141666,0.04038608077216168
L_7sins_04,24,13.524468,-7.3031178,-0.90108216,1.3118066,1.4456342,-0.7200567,-0.72167945,0.16732655,-0.01425877,0.51894385,-0.029459255,-0.039655205,0.073886335,0.0818739,-0.033423625,0,1.0,1.0,197,0,123,0,0,0,0.021390466356909613,0.0394829678548254
L_7sins_04,25,8.922761,-4.850125,8.341338,3.600118,1.4064925,-1.8454577,0.13979426,-1.9719272,1.9823407,-0.54516184,0.04788313,-0.06611652,-0.46930122,0.06504241,-0.24534902,0,1.0,1.0,197,0,123,0,0,0,0.022405782137326122,0.05514633251488759
L_7sins_04,26,13.840252,-7.2745943,4.6425843,4.9033084,2.7597342,-2.0670042,0.48268315,-1.1203077,2.1100304,-0.9949811,-0.31563208,0.15748242,-0.668508,0.43837258,0.30862448,0,1.0,1.0,197,0,123,0,0,0,0.023455515401824802,0.05398921908954972
L_7sins_04,27,14.846558,-5.849889,4.5134583,4.408061,3.210044,-2.1691246,0.33579177,-0.72958976,1.919626,-0.85547715,-0.41734365,0.3289478,-0.8975905,0.5439132,0.36247274,0,1.0,1.0,197,0,123,0,0,0,0.036293236964379326,0.03948296785482491
L_7sins_04,28,7.993573,-2.6362653,5.3774977,-1.1396422,0.47113773,-0.5272461,-0.94047916,-0.7261371,0.6424625,0.3468696,-0.14870715,0.22629035,0.30742517,0.0020960963,-0.23924726,0,1.0,1.0,197,0,123,0,0,0,0.021373324131141666,0.04038608077216168
L_7sins_04,29,18.15431,-3.6792161,1.5590914,5.3619695,4.0949926,-2.45671,0.8529919,-0.51806724,0.22804923,-1.2361208,-0.63671166,-0.26397845,-1.2570972,-0.05856307,0.9889999,0,1.0,1.0,197,0,123,0,0,0,0.018516657881670572,0.0403014139361619
L_7sins_04,3,12.427336,5.677981,9.839183,2.836617,2.4735644,-1.2607616,-0.18029721,-0.001563482,0.791194,-0.31114873,-0.23723869,-0.35125047,-0.74704105,0.57926434,0.24903886,0,1.0,1.0,197,0,123,0,0,0,0.08692135604887291,0.18934343576765794
L_7sins_04,30,12.324708,-7.6959553,-5.166646,0.121614255,1.1135024,-0.50119233,0.063221976,1.4181018,-0.31042117,-0.37571147,1.1628447,0.11837556,0.13494563,-0.07585971,-0.30045712,0,1.0,1.0,197,0,123,0,0,0,0.006900705558424054,0.05523099935088785
L_7sins_04,31,17.185171,-5.833367,-1.2989322,3.9166894,3.1454608,-1.8192078,0.26319483,0.16335714,-0.48619372,-0.32038042,-0.4468854,-0.046344128,-0.8859159,-0.18723443,0.8449621,0,1.0,1.0,197,0,123,0,0,0,0.019497504732404032,0.040132080264160895
